id	subject	grade	unit	question	answer	image_id
ri-001	rika	1	生物	表1について、顕微鏡の倍率が600倍, 接眼レンズの倍率が15倍のとき、対物レンズの倍率は( )倍となる。	40	rika_g1_bio
ri-002	rika	1	生物	表2について、花のつくりのうち、外側から数えて2番目にあるつくりは( )である。	花弁	rika_g1_bio
ri-003	rika	1	生物	表2について、おしべのやくから出た花粉がめしべの柱頭につくことを( )という。	受粉	rika_g1_bio
ri-004	rika	1	生物	表3について, 被子植物のうち、トウモロコシ、ツユクサなど、葉脈が平行脈である植物のなかまを( )という。	単子葉類	rika_g1_bio
ri-005	rika	1	生物	表4について、シダ植物とコケ植物は( )によってなかまをふやす。	胞子	rika_g1_bio
ri-011	rika	2	生物	表1について、体が1つの細胞でできている生物を( )という。	単細胞生物	rika_g2_bio
ri-012	rika	2	生物	表1について、ミジンコは( )に分類される。	多細胞生物	rika_g2_bio
ri-013	rika	2	生物	表2について、葉でつくられた養分が通る管は( )である。	師管	rika_g2_bio
ri-014	rika	2	生物	表2について、茎の断面を観察したとき、維管束が全体に散らばっているのは、被子植物の( )である。	単子葉類	rika_g2_bio
ri-015	rika	2	生物	表3について、光のエネルギーを使い、二酸化炭素と水からデンプンなどの養分をつくるはたらきを( )という。	光合成	rika_g2_bio
ri-022	rika	3	生物	表1について、細胞分裂が行われるときに核の中に見られるひものようなものを( )という。	染色体	rika_g3_bio
ri-023	rika	3	生物	表1について、生殖細胞がつくられるときに起こる、染色体の数がもとの細胞の半分になる特別な細胞分裂を( )という。	減数分裂	rika_g3_bio
ri-024	rika	3	生物	表2について、( )生殖では、子には親とまったく同じ形質が現れる。	無性	rika_g3_bio
ri-025	rika	3	生物	表2について、( )生殖では、親と同じ形質だけでなく、異なる形質が現れることもある。	有性	rika_g3_bio
ri-026	rika	3	生物	表3について、動物の( )は雄の精巣でつくられる。	精子	rika_g3_bio
