id	subject	grade	unit	question	answer	image_id
ri-chem-001	rika	1	化学	表1について、物質を有機物と無機物に分類したとき、エタノールやプラスチックは( )に分類される。	有機物	rika_g1_chem
ri-chem-002	rika	1	化学	表2について、銅、アルミニウム、ガラス、マグネシウムのうち、非金属に分類されるのは、( )である。	ガラス	rika_g1_chem
ri-chem-003	rika	1	化学	表3について、密度の異なる物質を、それぞれ同じ質量だけ用意したとき、密度が( )物質ほど体積が大きくなる。	小さい	rika_g1_chem
ri-chem-004	rika	1	化学	表3について、質量が157.4g, 体積が20.0cm³の物質の密度は( )g/cm³である。	7.87	rika_g1_chem
ri-chem-005	rika	1	化学	表3について,ある物質の密度が 1.25 g/cm³,質量が25.0gであるとき、その体積は( )cm³である。	20.0	rika_g1_chem
ri-chem-006	rika	1	化学	表4について、アンモニア、水素、二酸化炭素、酸素を発生させたとき,上方置換法でしか集められないのは( )である。	アンモニア	rika_g1_chem
ri-chem-007	rika	1	化学	表5について、溶液の質量は、「( )の質量[g]+溶媒の質量[g]」で求めることができる。	溶質	rika_g1_chem
ri-chem-008	rika	1	化学	表5について、138gの水に12gの塩化ナトリウムをすべてとかしてできた溶液の質量パーセント濃度は( )%である。	8	rika_g1_chem
ri-chem-009	rika	1	化学	表5について、10%の塩化ナトリウム水溶液100gに( )gの水を加えると、4%の塩化ナトリウム水溶液になる。	150	rika_g1_chem
ri-chem-010	rika	1	化学	表6について、物質を純粋な物質と混合物に分類したとき、空気やロウは( )に分類される。	混合物	rika_g1_chem
ri-chem-011	rika	2	化学	表1について、いくつかの原子が結びついてできていて、物質の性質を示す最小の粒子を( )という。	分子	rika_g2_chem
ri-chem-012	rika	2	化学	表2について、食塩(塩化ナトリウム)は化合物であるが、食塩水は( )である。	混合物	rika_g2_chem
ri-chem-013	rika	2	化学	表2について、水、塩化ナトリウム、二酸化炭素のうち、分子をつくらない化合物は( )である。	塩化ナトリウム	rika_g2_chem
ri-chem-014	rika	2	化学	表3について、( )では、もとの物質とは別の性質ができる。	化学変化	rika_g2_chem
ri-chem-015	rika	2	化学	表4について、鉄くぎを空気中に放置しておくと赤くさびるのは、( )が起こったからである。	酸化	rika_g2_chem
ri-chem-016	rika	2	化学	表4について,酸化銅や酸化鉄のように、酸化によってできた化合物を( )という。	酸化物	rika_g2_chem
ri-chem-017	rika	2	化学	表5について、化学変化のとき、熱が発生する反応を( )反応という。	発熱	rika_g2_chem
ri-chem-018	rika	2	化学	表6について、銅4.0gを加熱すると、5.0gの酸化銅ができた。このとき、銅と結びついた酸素の質量は( )gである。	1.0	rika_g2_chem
ri-chem-019	rika	2	化学	表6について、銅8gをじゅうぶんに熱したときにできる酸化銅の質量は( )gである。	10	rika_g2_chem
ri-chem-020	rika	2	化学	表6について、10gの酸化マグネシウムにふくまれる酸素の質量は( )gである。	4	rika_g2_chem
ri-chem-021	rika	2	化学	表6について、酸素2gと結びつくマグネシウムの質量と、酸素2gと結びつく銅の質量の比は( )である。	3:8	rika_g2_chem
ri-chem-022	rika	3	化学	表1について、水溶液にしたときに電流を通す物質を( )という。	電解質	rika_g3_chem
ri-chem-023	rika	3	化学	表1について、エタノール、水酸化ナトリウム、塩化ナトリウムのうち、非電解質は( )である。	エタノール	rika_g3_chem
ri-chem-024	rika	3	化学	表2について、原子核をつくる、電気をもたない粒子を( )という。	中性子	rika_g3_chem
ri-chem-025	rika	3	化学	表3について、塩化水素が電離したときに生じる陽イオンは( )である。	水素イオン	rika_g3_chem
ri-chem-026	rika	3	化学	表3について、陽イオンと陰イオンのうち、電子を受けとってできるのは( )である。	陰イオン	rika_g3_chem
ri-chem-027	rika	3	化学	表4について、pHが9.0の水溶液にフェノールフタレイン溶液を入れると、水溶液は( )色になる。	赤	rika_g3_chem
ri-chem-028	rika	3	化学	表4について,pHが7.0の水溶液にBTB溶液を入れると、水溶液は( )色になる。	緑	rika_g3_chem
ri-chem-029	rika	3	化学	表4について、アルカリ性を示す水溶液中にふくまれるイオンは( )である。	水酸化物イオン	rika_g3_chem
ri--chem-030	rika	3	化学	表5について,硫酸のように、電離したときに水素イオンが生じる物質を( )という。	酸	rika_g3_chem
ri-chem-031	rika	3	化学	表5について、うすい硫酸とうすい水酸化バリウム水溶液を混ぜたときに生じる塩は( )である。	硫酸バリウム	rika_g3_chem
ri-chem-032	rika	3	化学	表6について、ダニエル電池では亜鉛原子が亜鉛イオンになるときに放出する( )が銅板に移動するため、亜鉛板が-極となる。	電子	rika_g3_chem
