id	subject	grade	unit	question	answer	image_id
ri-geol-001	rika	1	地学	表1について、火成岩のつくりのうち、同じくらいの大きさの鉱物がきっちりと組み合わさっているつくりを( )組織という。	等粒状	rika_g1_geol
ri-geol-002	rika	1	地学	花こう岩やせん緑岩は,表1の火山岩と深成岩のうち、( )に分類される。	深成岩	rika_g1_geol
ri-geol-003	rika	1	地学	表2について、P波が到達してからS波が到達するまでの時刻の差を( )という。	初期微動継続時間	rika_g1_geol
ri-geol-004	rika	1	地学	表3について,マグニチュードの数値が1つ大きくなるごとに、放出されるエネルギーは約( )倍になる。	32	rika_g1_geol
ri-geol-005	rika	1	地学	表3について、ふつう、震度は震源からの距離が遠くなるほど( )なる。	小さく	rika_g1_geol
ri-geol-006	rika	1	地学	表4について、泥岩、砂岩,れき岩をつくる粒は、ぶつかり合いながら運搬されるため、( )を帯びている。	丸み	rika_g1_geol
ri-geol-007	rika	1	地学	表4について、火山灰,火山れき,軽石などの火山噴出物が堆積し、押し固められてできた岩石を( )という。	凝灰岩	rika_g1_geol
ri-geol-008	rika	1	地学	表5について、サンゴやシジミの化石など、地層が堆積した当時の環境を推定する手がかりとなる化石を( )という。	示相化石	rika_g1_geol
ri-geol-009	rika	1	地学	表6について、地震や火山活動によって、大地がもち上がること を( )という。	隆起	rika_g1_geol
ri-geol-010	rika	1	地学	表6について、過去にくり返しずれ動いていて、今後もずれ動く可能性のある断層を( )という。	活断層	rika_g1_geol
ri-geol-011	rika	2	地学	表1について、1Paとは、1m²の面に( )Nの力が加わったときの圧力の大きさである。	1	rika_g2_geol
ri-geol-012	rika	2	地学	表1について、机に接する面が0.2m²の物体がその面を600Nで垂直に押しているときの圧力の大きさは( )Paである。	3000	rika_g2_geol
ri-geol-013	rika	2	地学	表2について、乾湿計で気温をはかるとき,乾球と湿球のうち,( )の目盛りを読みとる。	乾球	rika_g2_geol
ri-geol-014	rika	2	地学	表2について,風力階級は( )段階に分けられていて、数字が大きいほど風が強いことを表す。	13	rika_g2_geol
ri-geol-015	rika	2	地学	表3について,その空気1m³中にふくむことのできる最大の水蒸気量を( )という。	飽和水蒸気量	rika_g2_geol
ri-geol-016	rika	2	地学	表3について、飽和水蒸気量が30g/m³の空気1m³中に15g/m³の水蒸気がふくまれているとき、湿度は( )%である。	50	rika_g2_geol
ri-geol-017	rika	2	地学	表4について、高気圧と低気圧のうち、前線をともなうことがあるのは( )である。	低気圧	rika_g2_geol
ri-geol-018	rika	2	地学	表4について、高気圧と低気圧のうち、中心から時計回りに風がふき出しているのは( )である。	高気圧	rika_g2_geol
ri-geol-019	rika	2	地学	表5について,通過するとき、せまい範囲で強い雨が短時間降り,通過後に気温が下がる前線は、( )である。	寒冷前線	rika_g2_geol
ri-geol-020	rika	2	地学	表5について、進み方の速い寒冷前線が、温暖前線に追いつくことでできる前線を( )という。	閉そく前線	rika_g2_geol
ri-geol-021	rika	2	地学	表6について、つゆ(梅雨)のときに見られる前線は、オホーツク海気団と( )の間にできる。	小笠原気団	rika_g2_geol
ri-geol-022	rika	3	地学	表1について、太陽は東からのぼり、( )の空を通り、西に沈む。	南	rika_g3_geol
ri-geol-023	rika	3	地学	表1について、ある時刻に見えた星座は、1か月後には( )時間早く同じ位置に見ることができる。	2	rika_g3_geol
ri-geol-024	rika	3	地学	表2について、赤道上では、日本が春分の日であるときの南中高度は( )°になる。	90	rika_g3_geol
ri-geol-025	rika	3	地学	表2について、北緯33°のある地点で、冬至の日における太陽の南中高度は( )°である。	33.6	rika_g3_geol
ri-geol-026	rika	3	地学	表2について、太陽の南中高度が最も高いのは、( )の日である。	夏至	rika_g3_geol
ri-geol-027	rika	3	地学	表3について、夕方,西の空に見える金星を、特に( )という。	よいの明星	rika_g3_geol
ri-geol-028	rika	3	地学	表3について、明け方,東の空に見える金星を、特に( )と いう。	明けの明星	rika_g3_geol
ri-geol-029	rika	3	地学	表4について、地球より内側の軌道を公転している惑星を( )という。	内惑星	rika_g3_geol
ri-geol-030	rika	3	地学	表4について,水星、金星、土星のうち、外惑星は( )である。	土星	rika_g3_geol
ri-geol-031	rika	3	地学	表5について、水星、金星、土星のうち、木星型惑星は( )である。	土星	rika_g3_geol
ri-geol-032	rika	3	地学	表5について,地球型惑星と木星型惑星のうち、平均密度が大きいのは( )である。	地球型惑星	rika_g3_geol
