id	subject	unit	daimon	question	answer	image_id
so-civ-001	social	公民	1	〈日本国憲法〉①公布と②施行の年月日、③~⑤の基本原則を答えなさい。	①1946年11月3日 ②1947年5月3日 ③国民主権 ④基本的人権の尊重 ⑤平和主義	so_civ_chart_01
so-civ-002	social	公民	2	〈基本的人権〉①~⑦の権利の名称を答えなさい。	①平等権 ②自由権 ③表現の自由 ④職業 ⑤財産 ⑥社会権 ⑦勤労の権利	so_civ_chart_02
so-civ-003	social	公民	3	〈国会のしくみ〉表中の①~⑦の数字や語句を答えなさい。	①4 ②6 ③25 ④30 ⑤小選挙区 ⑥比例代表 ⑦比例代表	so_civ_chart_03
so-civ-004	social	公民	3	〈国会のしくみ〉法律ができるまでの過程。⑧は[ ]で審議され、本会議に送られる。Bは、重要法案を審議するときに開かれる⑨[ ]である。	⑧委員会 ⑨公聴会	so_civ_chart_03
so-civ-005	social	公民	4	〈国会の種類〉①~④にあてはまる国会の名称を答えなさい。	①常会(通常国会) ②臨時会 ③特別会 ④参議院の緊急集会	so_civ_chart_04
so-civ-006	social	公民	5	〈衆議院の優越〉法律案の議決で、衆議院が出席議員の①[ ]以上の賛成で再可決すれば法律となる。予算の審議では衆議院に②[ ]権がある。予算・条約・首相指名で意見が一致しない場合、③[ ]を開いても、④[ ]の議決が国会の議決となる。	①3分の2 ②先議 ③両院協議会 ④衆議院	so_civ_chart_05
so-civ-007	social	公民	6	〈三権の抑制と均衡〉(1)図Ⅰより、Aについて首相は①[ ]の中から国会が指名。Bについて国務大臣の②[ ]は国会議員でなければならない。内閣が国会に連帯責任を負うしくみを③[ ]制という。(2)図Ⅱより、Cはいわゆる①[ ]権の行使。Dは②[ ]裁判所の設置。Eは最高裁裁判官に対する③[ ]。	(1)①国会議員 ②過半数 ③議院内閣 (2)①違憲審査 ②弾劾 ③国民審査	so_civ_chart_06
so-civ-008	social	公民	7	〈裁判のしくみ〉(1)図Ⅰより、裁判は原則3回まで受けられる。これを①[ ]制という。第二審を求めることを②[ ]、第三審を求めることを③[ ]という。あは④[ ]、いは⑤[ ]、うは⑥[ ]裁判所である。(2)図Ⅱのアは①[ ]裁判。訴えた人(え)は②[ ]、訴えられた人(お)は③[ ]。イは④[ ]裁判で、かの⑤[ ]が被疑者を起訴する。	(1)①三審 ②控訴 ③上告 ④簡易 ⑤地方 ⑥高等 (2)①民事 ②原告 ③被告 ④刑事 ⑤検察官	so_civ_chart_07
so-civ-009	social	公民	8	〈地方自治のしくみ〉(1)地方自治の単位を[ ]という。(2)都道府県知事の被選挙権は①[ ]歳以上、市(区)町村長と地方議会議員の被選挙権は②[ ]歳以上。(3)地方議会は首長に対し①[ ](C)を決議でき、首長は地方議会を②[ ](A)する権限を持つ。(4)地方議会が制定するきまりを[ ](B)という。(5)Dは、2007年から[ ]市(区)町村長と名称が変わった。	(1)地方公共団体 (2)①30 ②25 (3)①不信任 ②解散 (4)条例 (5)副	so_civ_chart_08
so-civ-010	social	公民	9	〈商品の価格〉(1)図Ⅰより、入荷量が増えると価格は①[ ]、入荷量が減ると価格は②[ ]。(2)図Ⅱより、商品の価格は①[ ]価格といい、需要量が一定で供給量だけが増えれば、価格は②[ ]。	(1)①下がる ②上がる (2)①均衡 ②下がる	so_civ_chart_09
so-civ-011	social	公民	10	〈株式会社のしくみ〉(1)株式会社は①[ ](A)を発行して資金を得る。会社の利潤(利益)が上がった場合、その一部を②[ ](B)として受けとることができる。(2)株主は、[ ](C)に出席できる。	(1)①株式 ②配当 (2)株主総会	so_civ_chart_10
so-civ-012	social	公民	11	〈国民経済のしくみ〉(1)Aは家計が企業に提供する①[ ]、BはAに対して企業が支払う②[ ]。Cは家計や企業が政府に納める③[ ]。(2)aは①[ ]、bは②[ ]。(3)不景気のとき、政府は公共事業などへの支出を①[ ]、②[ ]税を行う。景気過熱のときは、支出を③[ ]、④[ ]税を行う。	(1)①労働力 ②賃金 ③税金 (2)①好景気(好況) ②不景気(不況) (3)①増やし ②減 ③減らし ④増	so_civ_chart_11
so-civ-013	social	公民	12	〈国の財政〉(1)図ⅠのAは[ ]金。(2)図ⅡのBは①[ ]費、Cは②[ ]費。(3)図ⅢのDは①[ ]税、Eは②[ ]税。	(1)公債 (2)①社会保障 ②国債 (3)①所得 ②消費	so_civ_chart_12
