id	subject	unit	daimon	question	answer	image_id
so-hist-001	social	古代	1	〈史料の読解〉(1) Aは3世紀の日本の様子についての記述。国は①[ ]、女王は②[ ]。	①邪馬台国 ②卑弥呼	so_hist_doc_01
so-hist-002	social	古代	1	〈史料の読解〉(2) Bは7世紀初めに聖徳太子が定めた①[ ]。[b]にあてはまる語句は②[ ]。	①十七条の憲法 ②天皇	so_hist_doc_01
so-hist-003	social	古代	1	〈史料の読解〉(3) Cは、九州北部に防衛のために送られた①[ ]がよんだ歌。最古の歌集は②[ ]。	①防人 ②万葉集	so_hist_doc_01
so-hist-004	social	古代	1	〈史料の読解〉(4) Dは、①[ ]が、娘が天皇の妃となった祝いの席でよんだもの。子の頼通とともに②[ ]政治の全盛時代を築いた。	①藤原道長 ②摂関	so_hist_doc_01
so-hist-005	social	中世	1	〈史料の読解〉(5) Eは、1221年におきた①[ ]の乱の際、頼朝の妻であった②[ ]が御家人たちに訴えた言葉。乱の中心人物は③[ ]上皇。	①承久の乱 ②北条政子 ③後鳥羽	so_hist_doc_01
so-hist-006	social	中世	1	〈史料の読解〉(6) Fは、1428年におきた①[ ]についての記録。[c]は高利貸しを営んでいた②[ ]という質屋。	①正長の土一揆 ②土倉	so_hist_doc_01
so-hist-007	social	中世	1	〈史料の読解〉(7) Gは、戦国時代に各地の戦国大名たちが領国を支配するために定めたきまりで、①[ ]と呼ばれる。城下に商工業者を住まわせ、②[ ]が形成された。	①分国法 ②城下町	so_hist_doc_01
so-hist-008	social	近世	1	〈史料の読解〉(8) Hは、豊臣秀吉が定めた①[ ]令。農民の一揆を防ぐため、刀などの武器を取り上げた。[①]や太閤検地により、武士と農民の身分がはっきり区別される②[ ]が進んだ。	①刀狩 ②兵農分離	so_hist_doc_01
so-hist-009	social	近世	1	〈史料の読解〉(9) Iは、江戸幕府が定めた①[ ]。1635年に徳川家光は②[ ]の制度をつけ加えた。	①武家諸法度 ②参勤交代	so_hist_doc_01
so-hist-010	social	近世	1	〈史料の読解〉(10) Jは、江戸時代に出された命令。[d]にあてはまる語句は①[ ]。農業に専念させようとしたのは、納める②[ ]が武士の生活を支えていたため。	①百姓 ②年貢	so_hist_doc_01
so-hist-011	social	近代・現代	1	〈史料の読解〉(11) Kは、1868年,天皇が神にちかうという形で発表された[ ]。明治新政府の基本方針を示したもの。	五箇条の御誓文	so_hist_doc_01
so-hist-012	social	近代・現代	1	〈史料の読解〉(12) Lは、1889年,天皇が国民にあたえるという形で発布された①[ ]。伊藤博文が中心となり、②[ ]の憲法を参考に作成。	①大日本帝国憲法 ②プロイセン(ドイツ)	so_hist_doc_01
so-hist-013	social	近代・現代	1	〈史料の読解〉(13) Mは、1945年7月に連合国が発表した[ ]と呼ばれるもの。同年8月,日本はこれを受け入れ、無条件降伏した。	ポツダム宣言	so_hist_doc_01
so-hist-014	social	古代	2	〈資料の読解〉(1) Aは、縄文時代に作られた[ ]と呼ばれる土製の人形。	土偶	so_hist_doc_02
so-hist-015	social	古代	2	〈資料の読解〉(2) Bは、[ ]と呼ばれる青銅器。弥生時代の遺物。	銅鐸	so_hist_doc_02
so-hist-016	social	古代	2	〈資料の読解〉(3) Cは、聖徳太子が建てた①[ ]。この時代に栄えた仏教の影響を強く受けた文化は、②[ ]文化と呼ばれる。	①法隆寺 ②飛鳥	so_hist_doc_02
so-hist-017	social	古代	2	〈資料の読解〉(4) Dは、もと東大寺の倉であった①[ ]。校倉造で建てられ、②[ ]天皇の遺品などが納められていた。この時代の文化は③[ ]文化と呼ばれる。	①正倉院 ②聖武 ③天平	so_hist_doc_02
so-hist-018	social	古代	2	〈資料の読解〉(5) Eは、藤原頼通が京都の宇治に建てた①[ ]。この時代の文化は②[ ]文化と呼ばれる。	①平等院鳳凰堂 ②国風	so_hist_doc_02
so-hist-019	social	中世	2	〈資料の読解〉(6) Fは①[ ]。鎌倉時代初めに再建され、門の左右に運慶らが作った②[ ]像が置かれている。	①東大寺南大門 ②金剛力士	so_hist_doc_02
