id	subject	unit	daimon	question	answer	image_id
so-wgeo-001	social	世界地理	1	〈六大陸と三大洋〉地図中の①~⑥にあてはまる大陸名を答えなさい。	①ユーラシア大陸 ②アフリカ大陸 ③北アメリカ大陸 ④南アメリカ大陸 ⑤オーストラリア大陸 ⑥南極大陸	so_wgeo_01
so-wgeo-002	social	世界地理	1	〈六大陸と三大洋〉地図中のA~Cにあてはまる大洋名を答えなさい。	A:太平洋 B:インド洋 C:大西洋	so_wgeo_01
so-wgeo-003	social	世界地理	2	〈地球儀と地図〉(1) 図Ⅰは地球儀である。図中のAは緯度を表す①[ ]、Bは経度を表す②[ ]である。	①緯線 ②経線	so_wgeo_02
so-wgeo-004	social	世界地理	2	〈地球儀と地図〉(2) 図Ⅱは緯線と経線が直角に交わる地図(メルカトル図法)で、経線に対する①[ ]が正しく表されるが、面積は不正確で、緯度が高い地域ほど、実際の面積よりも②[ ]表される。	①角度(方位) ②大きく	so_wgeo_02
so-wgeo-005	social	世界地理	2	〈地球儀と地図〉(3) 図Ⅲは①[ ]の正しい地図(モルワイデ図法)、図Ⅳは中心からの②[ ]と方位が正しい地図(正距方位図法)である。	①面積 ②距離	so_wgeo_02
so-wgeo-006	social	世界地理	3	〈日本の位置〉(1) ①~④は、日本の国土の端を示している。それぞれの島の名を答えなさい。	①択捉島 ②南鳥島 ③沖ノ鳥島 ④与那国島	so_wgeo_03
so-wgeo-007	social	世界地理	3	〈日本の位置〉(2) 地図中の①とその周辺の島々はロシアによる占拠が続いており、[ ]と呼ばれている。	北方領土	so_wgeo_03
so-wgeo-008	social	世界地理	3	〈日本の位置〉(3) Aは北緯①[ ]度の緯線で、Bは東経②[ ]度の経線である。	①40 ②140	so_wgeo_03
so-wgeo-009	social	世界地理	3	〈日本の位置〉(4) [ ]で示した海域は、沿岸から①[ ]海里以内の、日本の②[ ]水域を示している。	①12 ②排他的経済	so_wgeo_03
so-wgeo-010	social	世界地理	4	〈日本の地域区分〉Aの①[ ]地方にあたる都道府県名を答えなさい。	北海道	so_wgeo_04
so-wgeo-011	social	世界地理	4	〈日本の地域区分〉Bの②[ ]地方、③県、Cの④[ ]地方、⑤県を答えなさい。	②東北 ③山形,宮城,福島 ④関東 ⑤千葉,埼玉,東京,神奈川	so_wgeo_04
so-wgeo-012	social	世界地理	4	〈日本の地域区分〉Dの⑥[ ]地方、⑦県を答えなさい。	⑥中部 ⑦愛知	so_wgeo_04
so-wgeo-013	social	世界地理	4	〈日本の地域区分〉⑥地方は北陸、中央高地、⑧[ ]の3つに分けられる。	東海	so_wgeo_04
so-wgeo-014	social	世界地理	4	〈日本の地域区分〉Eの⑨[ ]地方、⑩県を答えなさい。	⑨近畿 ⑩奈良,和歌山	so_wgeo_04
so-wgeo-015	social	世界地理	4	〈日本の地域区分〉Fの⑪[ ]地方、⑫県を答えなさい。	⑪中国・四国 ⑫岡山,香川	so_wgeo_04
so-wgeo-016	social	世界地理	4	〈日本の地域区分〉⑪地方は山陰、⑬[ ]、南四国の3つに分けられる。	山陽	so_wgeo_04
so-wgeo-017	social	世界地理	4	〈日本の地域区分〉Gの⑭[ ]地方、⑮県を答えなさい。	⑭九州 ⑮佐賀,長崎,大分,宮崎,熊本,鹿児島	so_wgeo_04
